driver,radio_message,sentiment
27,"Great job, Nico. Just tell us everything you can about the conditions. We want to get on the right tire at the right time.",
27,"Box now, Nico. Box now.",
27,"So weather-wise, there is rain building, sometimes it disappears, so we're kind of prepared for that with our tire choice. Okay, and then we went through all the data and what is happening with our tires, we've reverted the laps to grid adjust. It was just too much, it took out too much front, and then we've corrected for the tire compound for the race start. So we basically used the first lap, first lap air balance, and then just corrected for delta, for our tire? Yeah, that's correct.",
27,"Yeah, loud and clear. Okay, so it's restarting on an inter. We go two minutes early, along with all these people, to unlap ourselves. There'll be two total laps under the safety car, and then six racing laps remaining after that. Okay, so we're still on our interbalance and inter switches, which is all fine.",
27,In two or three minutes we'll probably have light drizzle for a few minutes.,
27,"Okay, that's two times past safety car line one, so you can catch the pack. The main pack is going into seven. Okay, Nikos, good job on brakes. You're with the pack now. So the people who have stopped is Bottas onto medium, Stroll onto medium, you and Lawson onto medium, and Russell's gone under hard. Other people have not stopped yet, they're all still on soft. The next rain, if it comes, would be in like 25 laps. So we'll see what happens there, otherwise we'll just see how long we can take this tire.",
27,"Do you want to flap adjust, Nico? Not really, but it's new sticky tires. Let's maybe try, which way would you go? I would take off, yeah. I would try less, I guess, and see what it feels like. Okay, copy. Take half percent down. Turn 10 feels pretty low in grip, like tailwind, I think. The rear is pretty unhappy there. Yes, on the tailwind into 10. Also 1 and 6 and 7 are tailwind. Okay, so we've taken off 0.5. We'll get a feel. One more grid. Go to the grid after this. Close the radio, Gary. It's too loud.",
27,"See you turn 10 is unbelievable. And I know it was 5 left, I'm saying. Yeah, understood. Maybe try 10 without the left toggle just to see what it does.",
27,Albon will be coming out on a medium.,
27,"I feel like I've lost brake efficiency. Oh, they're cold. Brake temps are okay, we're checking everything.",
3,Consider EB11 one step less. EB11.,
3,"Okay, yeah, debris hit my rear wing. It's broken. Yeah, I tried to miss it. I think it was a piece of a tire in the air. But it got my rear wing. Yeah, copy that.",
3,Thank you guys for repairing the cow.,
3,"Does Yuki have a problem or he made a mistake? Made a mistake, made a mistake. Let's try to clear Sergeant and then we help Yuki.",
3,"Turn 10 with the tailwind, we'll have to look after it there. Yeah, no worries. I was exploring a bit as well.",
31,"Okay, let's be clever. Your choice.",
31,"It is a tailwind into the last chicane, yeah. Round turn 16-17.",
31,Attraction is pretty full. Copy that. There are 20 laps remaining.,
31,"The grip of the steering wheel is falling apart. It's okay for this race, but I think next one we need a refurnish or something.",
31,"Okay, understood. We'll fault that.",
31,"Fail B02, OK, urgent.",
31,This is new material so I wouldn't be surprised if it just takes a lap or two to bed in. I wouldn't be too alarmed at the moment. We'll keep looking.,
31,"I think balance was not too bad. It's a bit more grip than yesterday. A bit more loose at the exit of turn seven. Okay, mate, we will speak to you shortly when you jump out. Yeah, and the brakes, the brakes is usually straight away good, so it's not normal that it's not good at all to start with. Okay, understood.",
31,18 laps to go. We think we can get Russell here. Let's keep pushing.,
31,"Do you see anything with the brakes? We're still looking at Esteban, same feeling as the previous lap, question? Little bit better but not by much. Okay, I understood this is...",
31,Any signs of graining on any car on the hub? Only very small amounts later in the stint.,
31,"If anything, S-Bahn, we think the limitation will be the front left tyre, so let's try and keep on top of that with switchers if we can.",
31,"Clutch drop absolutely spot on, same again please.",
31,"Yeah, it's raining quite heavy now. Copy that. Next two cars in front of Perez and Albon.",
31,"Possible debris 567, stay on line.",
31,"Right, temps are good, push at this entry.",
31,"There's a yellow flag after turn one, could be debris.",
31,"There was no space for both of us there so... Yeah, copy that.",
31,"Sainz has a piece of wing hanging, no?",
31,"Tell me when you want maximum pace. Yeah, will do. Keep what you're doing for now, please. Ferrari are getting frustrated behind. Keep it up.",
31,possible rain in 15 minutes only light,
31,"This is going to be very, very heavy rain Esteban, massive.",
31,"Okay, mate, we need scenario five. This is going to be extremely heavy rain. It's going to get much, much heavier.",
31,"This is the world's decision, guys.",
31,Taking a chance.,
31,"Okay mate, half the field have not pitted, they're all bunched up between 11 and 13. We can get a load of people here.",
31,"Okay mate, so it'll be recharge on at turn 7 this time. How's the balance please? Balance is okay so far. Okay mate, keep your pace up and go to the grid please, go to the grid. Okay mate, and if you can test your drinks kit if you haven't already as well. Okay, go to the back of the grid, come to a stop and go to P1.",
31,"Safety car, safety car, stay out, stay out.",
31,"There's a bit of a weird shift, 6 to 7, on the last corner. Copy that, we'll have a look.",
31,"Okay mate, some of these switch changes are related to that shift, we're trying to improve it.",
31,"If Sainz in front is pitted, that puts us P6 at the moment.",
31,"Are we doing max push on these tyres? Status 3 for now please, Norris 1.4 behind, 26 laps to go.",
31,"The bind point find didn't work, the first one. Okay man, understood. We'll have a look at that.",
31,"No, no!",
31,"Any final comments on balance or ride? Very easy, very very easy. We ride at the moment. The car is very comfortable.",
4,"Okay Lando, what is the pace? What is the pace? Oh man! Oh, yep, oh good. P-zero mate.",
4,one and a half and down one and a half down,
4,"Digestion, yellow G2 Yeah, none of this is helping mate Ok mate, we are trying here our best as well Yeah, I can understand Ok",
4,suggestion green f2 green f2,
4,Up three.,
4,"Oh, I don't know. Three down, three whatever. Doesn't make a difference.",
4,"Yeah, Rhea's already struggling a bit. Uh, taste a lot.",
4,"Yeah, I'm gonna start to make some mistakes with the tires.",
4,"Let's pick up the base land a little bit. Yeah, yeah. Okay, thank you.",
4,"Ok Lando, a mix of medium and hard starters. On medium Verstappen, Ocon, Hamilton, Zunoda in front of you, behind Debris, Albon, Sergent and the back of the grid Julke Mugger and Perez. On a hard Alonso, Sainz, Leclerc, Gasly, Russell in front of you, behind you Oscar, Stroll, Bottas and Mansell.",
4,"Yeah, like, people are racing against me. I know, I know. The car you're racing is Sainz, 48 seconds. Oh, sick.",
4,I suggest red a7 red a7 you're one of the quickest cars out there,
4,"Happy to do less, Lyco.",
4,"Tsunoda struggling with front left, Lando possible rain, class 1 on lap 35.",
4,"Lando, possible rain, class 1 on lap 35.",
4,"How's the balance? How's the balance? Well, not great obviously. The front grainings is hard to not get. The raise you have to manage a bit but the front grainings is the bigger problem.",
4,"Yeah, but I'm just so sh**ing low in the middle, so I can't do anything.",
4,"I'm gonna need to change my helmet and everything anyway so it's fine to get out. Still raining so it's not gonna restart anytime soon. Were you talking? Like I didn't hear anything. Can you hear me? Yeah, no, okay. Okay, sorry we are losing the connection on my belt pack. You can jump out if you... Yeah, okay.",
4,"Okay, Lando, the rain is easy enough. Can you keep the car on track? Yeah, yeah, yeah.",
4,"The box mate, we're too slow We are faster than Intest cars What the f- are you f***ing stupid mate? BOX! Land in pit lane!",
4,"Suggestion, green f3, green f3, we think rain will come in the next one two laps, it will hit turn one first, it will be light. Yeah, it's already in turn one.",
4,"Russell 1.1, Hamilton 2.2. Yeah, I got it, I can see that.",
4,"I'm not going to do that. I'm not going to do that. I'm not going to do that. I'm not going to do that. Let's go! Well done. Oh, ****! I hit the wall! OK, just bring it back carefully. I don't know. Let's go.",
4,"Lewis needs to give the position back. He just brakes way too late. He committed to it, so he needs to give two positions back. Understood, Landon. We've already raised it with the race director. Yeah, but they're going to do it for George, but he just committed to going off, so of course he could brake a lot later than me, you know.",
4,"I struggled a little bit with the ride from the rear in the last corner, just when I clip the kerb, but generally everywhere else is okay. A slow speed rider, I would say I'm pretty happy. Probably the place I struggled the most is, I have no idea what corner number, like the left-hander when you lose no brakes, turn eight or something, turn eight I think. Cool.",
4,"And Lando, Russell and Leclerc used half a tyre. What do you mean, used half a tyre? What does that mean? Half a tyre on the yellow in turn one. Ah, okay. eighty-one. You can go away with it. No matter what the tyre is, you can go away with it. You can go from theúa, Ul. Keep your tyrespumped unless you come on the После with Thom回來. Once the tyre is Europa. Place your tyrespumped in, come on the grey. There is thebes a 수도 cannot see.",
40,"So now we have a break in the rain, it's stopping on next one expected in 15 minutes from now, 15 to 20 minutes.",
40,"Okay, that's an 8 minutes warning for you Liam, 8 minutes warning. Restart in 10 minutes and we will exit the piton in 8.",
40,We will do 2 laps behind the safety car and then 5 race laps. Everyone will be on the inter. We've done as much as we could to help you with tires and brakes. We bring it to the flag.,
40,"Okay Liam, so Yuki got a penalty and that's P13 for you today. P13, good effort, good effort. I think you should be pleased. Cool, yeah. Considering the amount of time that we lost at the start, yeah. Good job. I enjoyed that. Okay, glad you enjoyed it. Still a lot of work ahead and we get ready again. Unfortunate with the penalty, very unfortunate. But you did all the right things today and we review the details for next time. Yeah, for sure. To be honest, I started to get a bit more of a feeling on the soft when I got clean air. That medium set I didn't feel very comfortable on, but I started to get more of an understanding on that soft. Yeah, I copied that. And we wanted to try something on the medium because there was not too much to lose. But yeah, the soft was a good component. So, I think the soft was a good component.",
44,"Well done Lewis, so we're coming down the pit exit, so just remember down the pit exit. So yeah, P4 and fastest lap, so well done on that mate.",
44,"Chad 9 every lap. Oh, he's been on Chad 9 every lap.",
44,"Oh, he's been on the 10-9 every lap.",
44,"So, potential rain on the radar, 20 minutes away, not very strong though, nothing like yesterday.",
44,"God, that's not a very good rear end.",
44,"So light rain being reported around the circuit, but very light.",
44,"Yeah, it's getting pretty wet, mate. Yeah, copy. We think this is only going to last another five minutes at most.",
44,Got to be careful dropping too much time or otherwise we've got to make it all back up.,
44,"And you're going to the grid. This sets flat spider. Okay, copy. Yeah, we won't need it.",
44,Not having to tighten up the wheels? We've gunned them on so we're happy.,
44,"I got a problem with my left front, it's starting to steer the right. Ok copy, we're looking at it.",
44,So let's use the tyres now. I have been for the last five laps too.,
44,Should've gone to the hot tire man.,
44,"I'm in the DRS. Still not catching him. Yep, understood Lewis.",
44,What happened? George looks like an issue on the cooling system.,
44,"So, same lap time as Gazdy, car ahead 3-0. Yeah, I can't catch you. Save it, time.",
44,There's hot air coming out of that gun.,
44,Is anyone else still out on the hard?,
44,"Copy, those who started on it are still out on it.",
44,I need to pick up the pace.,
44,"This place looks okay, it's coming towards us so don't worry about it.",
44,Just seeing a couple of peaks but not too bad.,
44,"It's getting to a point, it's pretty dangerous out here. Right, Sibri? Okay, copy. Range should start to reduce turns 3 to 9.",
44,I'm struggling for grip as it is mate.,
44,Riff. I mean both are going but I'm sticking to the roof.,
44,So this rain is looking imminent and it will be heavy so you can use the tyres.,
44,"George Lowe's Pass from a much different tyre strategy to him. Yep, we're trying to get the message to him. Should be this straight.",
44,"I'm going to tell George the last part from a much different tie strategy, Tim.",
44,"We should have come in man, this is very wet. Copy Lewis, so we're going to stay out, we're going to have to brave this I think.",
44,"I do have reports that Leclerc may have had some damage, so missing some rear downforce. See you ahead of me. Leclerc car ahead. He was 1.7 slower than before the safety car.",
44,"Nice and loose, next car, Norris, one second ahead.",
44,And let's see if he can give us a balance check. Balance check. That's pretty good. A little bit of a slip. Copy.,
44,"That was all okay in the box right? Yeah, copy. Yep, that's all okay. Just trying not to hit car, that's all slow down. Yep, roger.",
44,"That far's a gap. Seven seconds, Norris. Is it a big gap for us to catch? Negative. Let's go for it.",
44,George needs to pick up the base if you can. Copy that.,
44,"I think it's another lap man. Yes mate, yes. Just one more lap, that would have done it. But great job there mate, so that's P3 and fastest lap. Lewis, five hours later. Sir, yeah, I hear you Toto. Thanks so much for the support, for the positive words. It's not the easiest of weekends, but good result in the end. Thank you. Peace out guys.",
44,And we'reِ out bad. Cause it was hype man good.,
55,"Yeah, we do see the damage, carry on for now.",
55,We try to fix it at the P-stop going down with flap nothing we can do right now. Keep pushing.,
55,Tell me the amount of damage. And 5% aerobalance is pretty big.,
55,"We are doing great with the car we have, good job!",
55,"four behind and Alboncar behind, point four behind",
55,Rain expected in 4 minutes. What is the rain intensity? 2 to 3.,
55,I'm running. Copy it. There will be few spots for a few minutes and then increasing.,
55,"I think both sides lock then, or wait for the red flag",
55,"Yeah, not raining anymore. Cloud is living cold.",
55,"Track temp 4.7, 4.7. It is meant to drop through the race 4 degrees.",
55,Track temp 4.7 It is meant to drop through the race 4 degrees,
55,"Yeah, these are... Could have been the worst I expected Ok, understood",
55,"I have a slow dark shift, but the left panel is on the spot. Understood.",
55,"So nothing strange on the gearbox, all fine, we are checking anyway if there is anything else. No, it's what I had before, this sticky paddle thing. Yeah, copy, must be steering wheel.",
55,"What the f***? Exactly what I talked about! Exactly what I talked about! Slow intro, Hamilton 1.4 behind The main target there was to cover Hamilton Hamilton 1 second behind I don't care about Hamilton! I was f***ing weak!",
55,What is Charles' pace? Charles Lapte is 17.5 in free air. I was doing 65.,
55,"All okay with the safety car gloves, no one else. All okay, all okay.",
55,He's leaving me no space. You need to do something about it. We're gonna crash.,
55,"and multifunction RB position 7, RB position 7 and Gasly is 2 in front",
55,"What is the forecast? Stay for 5 minutes this kind of rain. Only 5 minutes, I need more to go to extreme. That's our best guess but can be anything as you know.",
55,"You tell me the forecast and I tell you, Ty.",
55,We expect the rain to stop in 2-3 minutes.,
55,"Perez and Hülkenberg just already pitted for hard to go into the end, also Zoo, all clear.",
55,and Cecho at the back just beat for hard 16.5 his lap time for info and all the field is packed,
55,Let me know when Ocon starts struggling with the eyes.,
55,A bit on the nose just for your foot.,
55,Let's go ship to N-Rollooun.,
55,"Superb, we nearly checked out on wing. Broken from wing. Stay out, stay out for a moment. No damage. It's okay.",
55,"I need to know the damage, how much load there We are checking I think he moved a bit later, I'll be in to be honest Copy that, try your best",
55,"Okay, I see a bit of front left and a bit of rear left waiting on the board. Just waiting for...",
55,"Okay, understood. And we had the first strike for turn 11. Track limits for info.",
55,and box to overtake Ocon,
55,And for Info Alun's report in rear left graining on the harp and also lap times 7.9.,
55,"And for Info Launch report in rear left draining on the hull. Yes, same here. Up here. I think the deck is higher than expected.",
55,How is the rain looking? In 45 minutes but it's slowing down the risk.,
55,"and box to overtake Ocon, Carlos box to overtake Ocon",
55,"Now we've born with phase 7, crop with phase 5. We've rotated a bit.",
55,and the heaviest part of the rain has passed and should be clear for 10-20 minutes and then some more could come later.,
55,4 laps to go Less radio Copy,
55,"And Charles has a front wing damage, front wing damage for Charles. Okay, don't slow me down please. Okay.",
55,"Yellow flag, 8 and 9, big accident.",
55,and no more rain for the next 30 minutes.,
55,"Yeah, very difficult to keep temperature with this safety car.",
55,"It looks like people are wanted to go through here, Ricky. Okay.",
55,We also believe that the track is picking up after the safety car and the rain.,
55,"Entire life of the soft is plus 10. Plus 10. You don't think we can make it to the end? At the moment we don't think, but we are monitoring.",
55,"How many more laps at this pace? At this pace, 10 more laps, but I'm more worried about... ...the Ghastly, pull a cow, eh? Understood. Ghastly 3.8 in front.",
55,"What we are doing with tyres is very good, good job.",
55,I could go forever at this place.,
55,"What do you think is the plan for this? The plan is to keep the pack together, so don't pull away. Copy. It will be doable with Max behind on used hard. Copy. And watch for debris still. Debris on track still.",
55,"Russell one second behind, if you keep the puck bounced up he cannot do two stops, Russell cannot do two stops.",
55,Let me know what you think is good to push. I still have one second of facing her. Understood.,
55,I need to go faster if you can till the end.,
55,Cup to land all over Whisnant Copy,
55,"Lando, point 8 behind, point 8 with DRS, Russell no DRS. Yeah, it's on purpose. Copy that.",
55,"Which use breaks are they rookie? They are not the one-star one-star? No, no, no, they are out of the pool And they are from Belgium, good warm up on the breaks, anyway",
55,After a double cool people are going a couple of tens faster than the first push.,
63,The front brakes don't quite seem to be biting that well.,
63,"I thought she came with first steering, the weird noise came from the right.",
63,I'm having a push too hard in 11 and 12. I ride an overtake or it needs to manage my crew there.,
63,Are we working together here or are we just doing our own race? We're still discussing.,
63,So George we need more management turn 11 on throttle. You want me to race or concede positions? You want more management? I will go backwards. We do need to make sure these tyres make it through the stint. We do want to race but we want to make it through the stint.,
63,We've got a load of dust coming out the front.,
63,I haven't been on the radio because I thought it was quite obvious about the pace. Just sat there behind my tyres.,
63,Vibrations.,
63,"We've got a load of dust coming out the front. What's the front brake cam? Brake dust. Err, smoke. Ok.",
63,"A lot of floor edge contact over turn, 8 curve, just a bit there all weekend.",
63,"So, okay, we need to retire the car.",
63,It's gasping back at me I reckon I'm not sure why,
63,Starts to get a little bit of greener.,
63,"Yeah, split in, turn 3.",
63,"Yeah, it's raining more and more.",
63,"George, all cool, we're all cool, you're in a good position and we're looking at the heavyweights, we're monitoring, keep talking to us, all cool. Just 6-1, extraordinarily wet, 3-6.",
63,"So we have a five second time penalty for the rejoin. Yeah, understood. Couldn't see anything.",
63,"If the clerk gets close, could we potentially invert positions? And I don't go more than a five ahead of Lewis. If he didn't obviously get Esteban. Don't need to answer and no obligation. This pace is very good at the moment.",
63,Rain intensity is going to be reducing from here on.,
63,"Can I have a shot, Ocon?",
63,I'm going to start right up Lewis's gearbox here.,
63,"The car doesn't feel right after that touch I'm just trying to bring home alright? Yeah AFIRM you're doing a really good job, you've got three laps remaining.",
63,How are brake temps?,
63,I look okay.,
63,Let me know when you're ready for me to hit a break a bit harder.,
63,So some medium runners complaining of graining them.,
63,If we increase those peak brake pressures that will help load up the front.,
63,"Yeah, but you're happy to manage breaks.",
63,I don't feel .1 safe.,
63,"I mean I'm getting these brake wall-ins every lap at the moment. Very firm, we're just bobbling along at the top of the limits on the front left caliper.",
63,So we just need to increase front surface temps in those areas.,
63,Just let me know on the grid how that flap tallied up versus P2 after.,
63,Currently expecting two laps behind the safety car and we have the inter-tyre fitted. Copy. That was mandatory from the FIA.,
63,"And for info there is more light rain on the radar five minutes out. So it will be a rolling start procedure and the safety car will enter the kit lane, end of this lap. Copy. Could you put the Norris on board on your screen, just let me know if he's inside or else down the south straight? I think it's going to be too delayed to be of any use to you. I'll try and keep an eye on GPS and let you know.",
63,"Rain intensity reducing in the pit lane now. Still wet here and here, very wet. Take off Prez behind on the inter. Prez alongside.",
63,"This rain is coming, it's going to be lighter than before, two or three minutes out.",
63,I'll be broadcasting the podium. Are we messing up?,
63,"A lot of vibration on this side. Copy that. Gap ahead, 0.7 to Hulk, 0.8 behind to Lawson.",
63,"So currently we've got up to the P6 in our pit window, but we are looking at points.",
63,Laps! 27 to go end of this lap.,
63,"Yeah, it looks like they're going to sacrifice the clerk.",
63,So we need to keep the pressure on these Ferraris.,
63,"Yeah, he's managing a lot, he's very slow. I guess he's trying to back us up.",
63,"Keep an eye on these tyres. Now, these will go to the end comfortably. Especially how scientists drive, it needs this. Managing big time.",
63,"I want to go for this win. Yeah, we understand. We're on the same page, mate.",
63,"Science reporting, he still has a second of pace in hand.",
63,"So Norris has DRS, let's start pushing science along now.",
63,"Science is driving unnecessarily slow, he's 3-4 seconds up on his delta.",
63,So you're going to let me back pass or...?,
63,No! No! No! No!,
63,Oh no no What the f*** Guys what the f*** What a f*** Rookie Oh my goodness is True Yes True That's true Yes True I,
63,Apex of seven.,
63,Another laser boat to keep on this time.,
77,"Okay, so a bit of split, soft and medium on the grid.",
77,Nicolai has retired but take your usual position. P18. Dropping.,
77,"I think I can get the house and at least we'll take a couple of laps. Yeah, copy. Pace feels good. Copy, good. Just click Halkenberg when you can.",
77,"This is getting frustrating, it's so slow.",
77,Quite consistent but I can't keep up with the breeze anymore. Copy. This is the pace so... Copy. Understood.,
77,"Oil button, oil button.",
77,Suggest Special 2 for turn 6 through 8.,
77,The Williams in front of me is having some rear left grading.,
77,How are your ties? Oh good.,
77,"Okay Valtteri, we really need to get De Vries if we can. Try to use the blue flag to your advantage.",
77,25 minutes to go 25. There is a shower west of to the circuit which is closing in and should pass the circuit but we might feel some drops.,
77,"Okay, that's ISR. Oh, no, I'll study the work.",
77,If I see there could be a few drops of rain but nothing major.,
77,"40 minutes to go, 40 minutes, all cars on grid except Magnussen, the race start will be dry.",
77,"Couple of drops here of water, but it was the forecast thing.",
77,"Okay Valtteri, no more shifts, no more shifts, we need to stop the car on track, stop the car. Okay, sorry for that.",
77,"It is a lizard, a big one. It was on track. Did he want to move? Copy. It's a brave lizard.",
77,I can confirm the ride is good. Straight and also I've had a bottom. No problem. Copy. Copy. Good.,
81,I don't know what he was doing. I was there and just turned in like I didn't exist.,
81,"And Oscar, this time, do not use anti-overtake, you can keep pushing until turn 5 for the breaking point.",
81,"Chaos Car Tire Info. Almost all the cars on soft tires, the only new medium starter is Sargent in P19. The new soft cars are Leclerc, Stroll, Hulkenberg, Magnussen, Ricciardo, Bottas and Joe. Have a good race. Thank you.",
81,"Oscar, kill the engine. The car is not safe to continue.",
81,"Oscar, that is a red flag. We're going to see if we can repair the car.",
81,"Opportunity Oscar, lean on the front left more, turn 6-7.",
81,"And how are the tyres Oscar? How are the tyres? Errr, not great. Don't have any creep. Copy.",
81,"Oscar, do not interfere with Lando's race. Ocon is three and a half seconds behind.",
81,"Yeah, there is rain in the north. We think it's still several minutes away if it gets in.",
81,"There's another shower approaching, expected around lap 60, possibly later. It has grown in intensity, would last the remainder of the race.",
81,"Class half rain in the pit lane. Yep, some light drops as well on the visor.",
81,Ah mate I have a massive flat squat now. Copy.,
81,"Oh, that looks good really good.",
81,How's the taunt? Still okay for now. No change.,
81,A possible brief and light rain shower approaching could be here in five minutes. Pitlane would get work first. On the radar this would be class one and last only a couple of minutes.,
81,"And Oscar, how's the balance? Yeah, it's slowly getting there. Slowly getting more regroup, but it's just low group conditions at the moment.",
